start month,start day,start year,start time,ampm,label
8,23,1979,10,16,PM,Virgo
9,17,1979,2,21,AM,Libra
10,11,1979,4,48,AM,Scorpio
11,4,1979,6,50,AM,Sagittarius
11,28,1979,9,20,AM,Capricorn
12,22,1979,1,35,PM,Aquarius
1,15,1980,10,37,PM,Pisces
2,9,1980,6,39,PM,Aries
3,6,1980,1,54,PM,Taurus
4,3,1980,2,46,PM,Gemini
5,12,1980,3,53,PM,Cancer
6,5,1980,12,44,AM,Gemini
8,6,1980,9,25,AM,Cancer
9,7,1980,12,57,PM,Leo
10,4,1980,6,07,PM,Virgo
10,30,1980,5,38,AM,Libra
11,23,1980,8,35,PM,Scorpio
12,18,1980,1,21,AM,Sagittarius
1,11,1981,1,48,AM,Capricorn
2,4,1981,1,07,AM,Aquarius
2,28,1981,1,01,AM,Pisces
3,24,1981,2,43,AM,Aries
4,17,1981,7,08,AM,Taurus
5,11,1981,2,45,PM,Gemini
6,5,1981,1,29,AM,Cancer
6,29,1981,3,20,PM,Leo
7,24,1981,9,04,AM,Virgo
8,18,1981,8,44,AM,Libra
9,12,1981,5,51,PM,Scorpio
10,8,1981,7,04,PM,Sagittarius
11,5,1981,7,39,AM,Capricorn
12,8,1981,3,52,PM,Aquarius
1,22,1982,9,56,PM,Capricorn
3,2,1982,6,25,AM,Aquarius
4,6,1982,7,20,AM,Pisces
5,4,1982,7,27,AM,Aries
5,30,1982,4,02,PM,Taurus
6,25,1982,7,13,AM,Gemini
7,20,1982,11,21,AM,Cancer
8,14,1982,6,09,AM,Leo
9,7,1982,4,38,PM,Virgo
10,1,1982,8,32,PM,Libra
10,25,1982,8,19,PM,Scorpio
11,18,1982,6,07,PM,Sagittarius
12,12,1982,3,20,PM,Capricorn
1,5,1983,12,58,PM,Aquarius
1,29,1983,12,31,PM,Pisces
2,22,1983,4,35,PM,Aries
3,19,1983,4,51,AM,Taurus
4,13,1983,6,26,AM,Gemini
5,9,1983,5,56,AM,Cancer
6,6,1983,1,04,AM,Leo
7,10,1983,12,25,AM,Virgo
8,27,1983,6,43,AM,Leo
10,5,1983,2,35,PM,Virgo
11,9,1983,5,52,AM,Libra
12,6,1983,11,15,AM,Scorpio
12,31,1983,9,00,PM,Sagittarius
1,25,1984,1,51,PM,Capricorn
2,18,1984,11,53,PM,Aquarius
3,14,1984,7,35,AM,Pisces
4,7,1984,3,13,PM,Aries
5,1,1984,11,53,PM,Taurus
5,26,1984,9,40,AM,Gemini
6,19,1984,7,48,PM,Cancer
7,14,1984,5,30,AM,Leo
8,7,1984,2,40,PM,Virgo
9,1,1984,12,07,AM,Libra
9,25,1984,11,05,AM,Scorpio
10,20,1984,12,45,AM,Sagittarius
11,13,1984,6,54,PM,Capricorn
12,8,1984,10,26,PM,Aquarius
1,4,1985,1,23,AM,Pisces
2,2,1985,3,29,AM,Aries
6,6,1985,3,53,AM,Taurus
7,6,1985,3,01,AM,Gemini
8,2,1985,4,10,AM,Cancer
8,27,1985,10,39,PM,Leo
9,21,1985,9,53,PM,Virgo
10,16,1985,8,04,AM,Libra
11,9,1985,10,08,AM,Scorpio
12,3,1985,8,00,AM,Sagittarius
12,27,1985,4,17,AM,Capricorn
1,20,1986,12,36,AM,Aquarius
2,12,1986,10,11,PM,Pisces
3,8,1986,10,32,PM,Aries
4,2,1986,3,19,AM,Taurus
4,26,1986,2,10,PM,Gemini
5,21,1986,8,46,AM,Cancer
6,15,1986,1,52,PM,Leo
7,11,1986,11,23,AM,Virgo
8,7,1986,3,46,PM,Libra
9,7,1986,5,15,AM,Scorpio
1,7,1987,5,20,AM,Sagittarius
