start month,start day,start year,start time,ampm,label
Jun,11,2021,9,34,AM,Leo
Jul,29,2021,4,32,PM,Virgo
9,14,2021,8,14,PM,Libra
10,30,2021,10,21,AM,Scorpio
12,13,2021,4,53,AM,Sagittarius
1,24,2022,7,53,AM,Capricorn
3,6,2022,1,23,AM,Aquarius
4,14,2022,11,05,PM,Pisces
5,24,2022,7,17,PM,Aries
Jul,5,2022,2,04,AM,Taurus
8,20,2022,3,56,AM,Gemini
3,25,2023,7,45,AM,Cancer
5,20,2023,11,31,AM,Leo
Jul,10,2023,7,40,AM,Virgo
8,27,2023,9,20,AM,Libra
10,12,2023,12,04,AM,Scorpio
11,24,2023,5,15,AM,Sagittarius
1,4,2024,9,58,AM,Capricorn
2,13,2024,1,05,AM,Aquarius
3,22,2024,7,47,PM,Pisces
4,30,2024,11,33,AM,Aries
Jun,9,2024,12,35,AM,Taurus
Jul,20,2024,4,43,PM,Gemini
9,4,2024,3,46,PM,Cancer
11,3,2024,11,09,PM,Leo
1,6,2025,5,44,AM,Cancer
4,18,2025,12,20,AM,Leo
Jun,17,2025,4,35,AM,Virgo
8,6,2025,7,23,PM,Libra
9,22,2025,3,54,AM,Scorpio
11,4,2025,8,01,AM,Sagittarius
12,15,2025,2,33,AM,Capricorn
